1741574456.5808425, 0.6, 0.0, 1
1741574457.5732229, 1.6, 0.0, 1
1741574458.5746136, 2.6, 0.0, 1
1741574459.5761385, 3.6, 0.0, 1
1741574460.5774043, 4.6, 0.0, 2
1741574461.578547, 5.6, 0.0, 2
1741574462.5800254, 6.6, 100.66, 2
1741574463.5814326, 7.6, 134.22, 4
1741574464.5827558, 8.6, 134.22, 4
1741574465.583488, 9.6, 234.88, 4
1741574466.584612, 10.6, 276.82, 9
1741574467.5866852, 11.6, 343.93, 9
1741574468.5880516, 12.6, 486.54, 9
1741574469.5894144, 13.6, 536.87, 11
1741574470.5906563, 14.6, 587.2, 11
1741574471.5922058, 15.6, 696.25, 11
1741574472.5933726, 16.6, 687.87, 14
1741574473.594866, 17.6, 939.52, 14
1741574474.5952208, 18.6, 872.42, 14
1741574475.5966308, 19.6, 964.69, 16
1741574476.5979466, 20.6, 1056.96, 16
1741574477.5993214, 21.6, 1006.63, 16
1741574478.600107, 22.6, 1023.41, 17
1741574479.6013372, 23.6, 989.86, 17
1741574480.602752, 24.6, 1040.19, 17
1741574481.6041207, 25.6, 822.08, 16
1741574482.60554, 26.6, 754.97, 16
1741574483.6068966, 27.6, 738.2, 16
1741574484.6083262, 28.6, 830.47, 20
1741574485.6096907, 29.6, 914.36, 20
1741574486.611103, 30.6, 889.19, 20
1741574487.6124053, 31.6, 805.31, 16
1741574488.6136987, 32.6, 905.97, 16
1741574489.615114, 33.6, 956.3, 16
1741574490.615736, 34.6, 1006.63, 15
1741574491.6168356, 35.6, 1107.3, 15
1741574492.6180463, 36.6, 805.31, 15
1741574493.620084, 37.6, 956.3, 14
1741574494.6214244, 38.6, 1023.41, 14
1741574495.6228065, 39.6, 989.86, 14
1741574496.624226, 40.6, 1056.96, 13
1741574497.625612, 41.6, 855.64, 13
1741574498.6269066, 42.6, 889.19, 13
1741574499.6283236, 43.6, 1006.63, 15
1741574500.6295795, 44.6, 931.14, 15
1741574501.630983, 45.6, 889.19, 15
1741574502.6323645, 46.6, 897.58, 16
1741574503.633712, 47.6, 671.09, 16
1741574504.6350582, 48.6, 889.19, 16
1741574505.6364443, 49.6, 754.97, 13
1741574506.637862, 50.6, 738.2, 13
1741574507.6392634, 51.6, 973.08, 13
1741574508.6406548, 52.6, 822.08, 12
1741574509.6420705, 53.6, 989.86, 12
1741574510.6435208, 54.6, 939.52, 12
1741574511.6448061, 55.6, 889.19, 10
1741574512.645411, 56.6, 1056.96, 10
1741574513.6467931, 57.6, 939.52, 10
1741574514.6482956, 58.6, 838.86, 9
1741574515.6496248, 59.6, 822.08, 9
1741574516.6509933, 60.6, 788.53, 9
1741574517.6516092, 61.7, 686.34, 10
1741574518.6527255, 62.7, 872.42, 10
1741574519.6538484, 63.7, 738.2, 10
1741574520.6550713, 64.7, 989.86, 9
1741574521.6563184, 65.7, 1040.19, 9
1741574522.6573763, 66.7, 1023.41, 9
1741574523.6594503, 67.7, 855.64, 6
1741574524.6608107, 68.7, 788.53, 6
1741574525.6621113, 69.7, 805.31, 6
1741574526.663463, 70.7, 922.75, 7
1741574527.6649616, 71.7, 889.19, 7
1741574528.6663134, 72.7, 905.97, 7
1741574529.6677058, 73.7, 847.25, 8
1741574530.669065, 74.7, 981.47, 8
1741574531.6704235, 75.7, 1090.52, 8
1741574532.6719475, 76.7, 922.75, 9
1741574533.6730537, 77.7, 922.75, 9
1741574534.6743844, 78.7, 989.86, 9
1741574535.6758053, 79.7, 1056.96, 8
1741574536.6772344, 80.7, 1073.74, 8
1741574537.6785185, 81.7, 956.3, 8
1741574538.6799152, 82.7, 872.42, 7
1741574539.681291, 83.7, 905.97, 7
1741574540.6825547, 84.7, 838.86, 7
1741574541.6840358, 85.7, 872.42, 8
1741574542.6855438, 86.7, 822.08, 8
1741574543.6867888, 87.7, 679.48, 8
1741574544.6881907, 88.7, 880.8, 7
1741574545.6894264, 89.7, 922.75, 7
1741574546.6908739, 90.7, 889.19, 7
1741574547.69225, 91.7, 738.2, 5
1741574548.6935556, 92.7, 671.09, 5
1741574549.6949224, 93.7, 671.09, 5
1741574550.6962626, 94.7, 771.75, 6
1741574551.697692, 95.7, 754.97, 6
1741574552.6991405, 96.7, 805.31, 6
1741574553.7004633, 97.7, 905.97, 7
1741574554.7018504, 98.7, 939.52, 7
1741574555.7031837, 99.7, 947.91, 7
1741574556.704562, 100.7, 914.36, 8
1741574557.7062032, 101.7, 989.86, 8
1741574558.7073019, 102.7, 1056.96, 8
1741574559.708773, 103.7, 1157.63, 9
1741574560.709474, 104.7, 1174.41, 9
1741574561.710851, 105.7, 1207.96, 9
1741574562.7123234, 106.7, 1191.18, 10
1741574563.713571, 107.7, 1140.85, 10
